Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2024,Fall,2024-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,62301,AD1,A,1,,,A,Closed,Discussion/Recitation,DIS,09:00 AM,09:50 AM,F,222,David Kinley Hall,"Nie, Q"
2024,Fall,2024-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,62302,AD2,A,1,,,A,Closed,Discussion/Recitation,DIS,10:00 AM,10:50 AM,F,111,David Kinley Hall,"Nie, Q"
2024,Fall,2024-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,62303,AD3,A,1,,,A,Closed,Discussion/Recitation,DIS,02:00 PM,02:50 PM,F,212,David Kinley Hall,"Nie, Q"
2024,Fall,2024-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,62300,AL1,A,1,,,A,Closed,Lecture,LEC,10:00 AM,10:50 AM,MW,1090,Lincoln Hall,"Wong, C"
2024,Fall,2024-fa,AAS,211,Asian Americans and the Arts,"Examination of Asian American artistic expressions in the visual and the performing arts providing historical, theoretical, and conceptual foundations of understanding the history of various art genres in Asian American communities. Prerequisite: AAS 100 or AAS 120, or consent of instructor.",3 hours.,"Prerequisite: AAS 100 or AAS 120, or consent of instructor.","Humanities - Lit & Arts, and Cultural Studies - US Minority course.",,67896,B,A,1,,,A,Open,Lecture-Discussion,LCD,03:00 PM,04:20 PM,MW,310,David Kinley Hall,"Sawada, E"
2024,Fall,2024-fa,AAS,246,Asian American Youth in Film,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.,3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,66200,A,A,1,,,A,Closed,Lecture-Discussion,LCD,02:00 PM,04:50 PM,M,111,Gregory Hall,"Kwon, S"
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,71409,AD1,A,1,,,A,CrossListOpen,Discussion/Recitation,DIS,09:00 AM,09:50 AM,F,325,David Kinley Hall,"Polanski, J;Ramirez, Y"
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,71413,AD2,A,1,,,A,Closed,Discussion/Recitation,DIS,01:00 PM,01:50 PM,F,G18,"Literatures, Cultures, & Ling","Polanski, J;Ramirez, Y"
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,71417,AD3,A,1,,,A,Closed,Discussion/Recitation,DIS,11:00 AM,11:50 AM,F,1064,Lincoln Hall,"Polanski, J;Ramirez, Y"
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,75269,AD4,A,1,,,A,Closed,Discussion/Recitation,DIS,11:00 AM,11:50 AM,F,134,Armory,"Pederson, L;Ramirez, Y"
