Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Students
2023,Fall,2023-fa,ARTD,301,Industrial Design III,ST,0,2,0,1,2,1,0,2,4,0,6,1,2,0,"Shin, Sung Soo",21
2023,Fall,2023-fa,ARTD,326,Sustainability & Manufacturing,LCD,5,11,2,1,2,4,1,0,0,0,0,0,1,0,"Araujo de Aguia, Carlos H",27
2023,Fall,2023-fa,ARTD,328,Human-Centered Product Design,LEC,14,3,3,3,1,0,0,0,0,0,0,0,0,0,"Araujo de Aguia, Carlos H",24
2023,Fall,2023-fa,ARTD,351,Graphic Design Inquiry,ST,7,9,4,0,0,0,1,0,0,0,0,0,0,0,"Salamanca Garci, Juan M",21
2023,Fall,2023-fa,ARTD,351,Graphic Design Inquiry,ST,19,0,0,1,0,0,0,0,1,0,0,0,0,0,"Strickland, Holly A",21
2023,Fall,2023-fa,ARTD,426,Product Innovation,LEC,0,15,10,2,2,2,0,0,0,0,0,0,0,0,"Sethi, Simrun S",31
2023,Fall,2023-fa,ARTD,451,EDGE,ST,1,9,3,2,5,1,0,2,0,0,0,0,0,0,"Benson, Eric",23
2023,Fall,2023-fa,ARTF,101,Contemporary Issues in Art,LEC,107,25,18,15,8,6,8,3,0,0,1,3,8,0,"Lucero, Jorge",202
2023,Fall,2023-fa,ARTH,230,Italian Renaissance Art,LEC,2,3,1,6,3,4,2,4,2,4,1,1,0,0,"Pilgrim, James B",33
2023,Fall,2023-fa,ARTH,257,History of Photography,LCD,1,36,5,5,3,0,0,0,0,1,0,0,0,0,"Weissman, Terri",51
2023,Fall,2023-fa,ARTH,345,Realism to Postimpressionism,LCD,1,8,5,2,12,2,2,1,0,0,0,0,0,0,"O'Brien, David J",33
2023,Fall,2023-fa,ARTH,361,Contemporary Art,LCD,3,8,2,5,4,0,0,2,0,0,0,0,1,1,"Smith, Cassandra A",25
2023,Fall,2023-fa,ARTJ,209,Chado (The Way of Tea),OLC,1,22,5,3,3,3,2,2,1,0,0,0,4,0,"Shoppell, Samantha",46
2023,Fall,2023-fa,ARTJ,299,Studio Ghibli and Art of Anime,Onl,5,15,2,1,3,0,1,0,0,0,0,0,0,0,"Stirek, Lindsey L",27
2023,Fall,2023-fa,ARTJ,301,Manga: Art of Image and Word,Onl,19,15,1,2,2,0,0,0,0,1,0,0,1,1,"Stirek, Lindsey L",41
2023,Fall,2023-fa,ARTS,220,Introduction to Fashion,ONL,13,4,2,1,2,0,0,0,0,1,0,0,0,0,"Becker, Susan E",23
2023,Fall,2023-fa,ARTS,220,Introduction to Fashion,ONL,16,6,0,1,1,0,0,1,0,0,0,0,0,0,"Becker, Susan E",25
2023,Fall,2023-fa,ARTS,299,Illust:Composition&Storytellin,ST,15,3,0,0,0,2,0,1,0,0,0,0,0,0,"Bazzell-Smith, Kofi M",21
2023,Fall,2023-fa,ARTS,405,Comic Books and Zines,ST,5,0,6,1,2,2,4,1,0,0,0,0,0,0,"Lingscheit, Emmy",21
2023,Fall,2023-fa,ARTS,499,"Clay (Adjacent), Ceramics expa",ST,3,7,6,2,2,0,0,0,0,0,1,0,0,0,"Pokorny, Melissa",21
2023,Fall,2023-fa,ASRM,210,Theory of Interest,LEC,9,16,4,3,7,5,1,0,0,0,0,0,1,0,"Cardinal, Timothy C",46
2023,Fall,2023-fa,ASRM,406,Lin Algebra & Financial Apps,LCD,11,4,3,7,3,2,0,0,0,0,0,0,1,0,"Icaza, Eric S",31
2023,Fall,2023-fa,ASRM,410,Investments and Fin Markets,LCD,16,12,14,6,0,1,0,0,0,0,0,0,0,0,"Hinkkanen, Aimo H",49
2023,Fall,2023-fa,ASRM,441,Statistics for Risk Modeling I,LEC,2,13,7,2,6,4,4,0,0,0,0,0,2,0,"Medina Landeros, Andres A",40
2023,Fall,2023-fa,ASRM,455,Predictive Analytics,LCD,10,19,6,8,11,0,3,0,1,0,0,0,1,0,"Jing, Xiaochen",59
2023,Fall,2023-fa,ASRM,461,Loss Models,LEC,8,8,8,2,1,3,4,4,2,1,1,0,5,1,"Freiji, Claudia G",47
2023,Fall,2023-fa,ASRM,471,Life Contingencies I,LEC,12,11,5,2,4,2,1,1,0,0,0,0,2,0,"Cardinal, Timothy C",40
2023,Fall,2023-fa,ASRM,533,Risk Mgmt Pract and Regulation,LCD,0,8,7,4,3,1,0,0,0,0,0,0,0,0,"Icaza, Eric S",23
2023,Fall,2023-fa,ASTR,100,Introduction to Astronomy,ONL,35,41,25,18,13,7,3,5,4,2,2,1,8,0,"Winans, Amanda",164
2023,Fall,2023-fa,ASTR,100,Introduction to Astronomy,ONL,38,43,27,20,20,12,7,11,7,4,7,5,26,0,"Winans, Amanda",227
2023,Fall,2023-fa,ASTR,121,Solar System and Worlds Beyond,LEC,43,35,16,14,9,6,5,4,1,1,1,1,2,0,"Winans, Amanda",138
2023,Fall,2023-fa,ASTR,122,Stars and Galaxies,LEC,17,23,16,15,15,14,9,9,15,1,2,0,2,0,"Barrow, Kirk S",138
2023,Fall,2023-fa,ASTR,150,Killer Skies: Astro-Disasters,LEC,16,22,8,3,5,2,1,2,0,0,0,0,0,0,"Dunne, Bryan C",59
2023,Fall,2023-fa,ASTR,210,Introduction to Astrophysics,LEC,5,9,3,2,12,2,1,6,0,0,2,0,2,1,"Young, Lisa M",44
2023,Fall,2023-fa,ASTR,210,Introduction to Astrophysics,LEC,5,9,0,2,13,0,0,5,0,0,0,0,0,0,"Young, Lisa M",34
2023,Fall,2023-fa,ASTR,310,Computing in Astronomy,LEC,11,14,3,4,2,1,1,3,0,0,0,0,0,0,"Young, Lisa M",39
2023,Fall,2023-fa,ASTR,350,"Big Bang,Black Holes,Universe",OLC,6,64,11,8,2,0,2,0,2,0,0,0,1,0,"Narayan, Gautham",96
2023,Fall,2023-fa,ASTR,404,Stellar Astrophysics,LEC,30,11,6,2,2,0,1,1,1,0,0,0,1,0,"Fields, Brian D",55
2023,Fall,2023-fa,ASTR,406,Galaxies and the Universe,LEC,0,14,5,3,4,4,4,1,3,0,0,0,1,0,"French, Katheryn D",39
2023,Fall,2023-fa,ATMS,100,Introduction to Meteorology,LEC,6,25,8,6,19,3,1,10,1,2,2,0,1,1,"Frame, Jeffrey",84
2023,Fall,2023-fa,ATMS,120,Severe and Hazardous Weather,LEC,68,91,53,36,37,17,16,8,7,5,4,1,8,0,"Choate, Jessica J",351
2023,Fall,2023-fa,ATMS,140,Climate and Global Change,LEC,19,111,4,4,2,0,2,0,0,1,0,0,3,0,"Proistosescu, Cristian",146
2023,Fall,2023-fa,ATMS,201,General Physical Meteorology,LCD,3,4,7,6,8,3,2,2,0,0,0,0,2,0,"Choate, Jessica J",37
2023,Fall,2023-fa,ATMS,302,Atmospheric Dynamics I,LEC,3,5,4,0,6,2,0,2,0,0,0,0,0,0,"Sriver, Ryan",22
2023,Fall,2023-fa,ATMS,511,Atmospheric Radiation,LCD,3,5,3,6,4,2,0,0,0,0,0,0,0,0,"Di Girolamo, Larry",23
2023,Fall,2023-fa,ATMS,517,Data Science for Geosciences,OLC,13,4,3,0,0,1,0,0,1,0,0,0,3,0,"Klees, Alicia M",25
2023,Fall,2023-fa,BADM,210,Business Analytics I,LEC,2,136,50,12,9,6,2,4,1,0,1,0,0,2,"Larson, Eric",223
2023,Fall,2023-fa,BADM,210,Business Analytics I,LEC,1,104,41,10,19,12,2,10,1,4,1,0,4,0,"Larson, Eric",209
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,14,13,4,3,7,3,0,0,1,0,0,0,0,0,"Virudachalam, Vanitha",45
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,16,13,8,3,2,0,2,1,0,0,0,0,0,0,"Virudachalam, Vanitha",45
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,18,13,5,2,3,0,1,0,0,0,0,0,0,1,"Gao, Yang",42
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,20,16,4,2,0,0,1,1,0,0,0,0,0,0,"Gao, Yang",44
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,22,20,1,0,1,0,0,0,0,0,0,0,0,0,"Liu, Zilong",44
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,10,21,7,2,1,0,1,2,0,0,0,0,0,0,"Liu, Zilong",44
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,10,19,8,3,0,1,1,0,2,0,0,0,0,0,"Bahrini, Aram",44
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,2,6,10,2,2,4,1,1,0,0,0,0,0,0,"Haksoz, Cagri",28
2023,Fall,2023-fa,BADM,211,Business Analytics II,LCD,6,6,13,7,6,4,1,1,0,0,0,0,0,0,"Haksoz, Cagri",44
2023,Fall,2023-fa,BADM,261,Technology & Mgmt Seminar,LCD,40,62,5,1,1,1,0,0,0,0,0,0,0,0,"Koon, Samantha L",110
2023,Fall,2023-fa,BADM,275,Operations Management,LCD,0,20,5,3,2,2,0,0,1,0,0,0,0,0,"Baddam, Swathi Reddy",33
2023,Fall,2023-fa,BADM,275,Operations Management,LCD,1,21,14,1,2,0,0,1,0,0,0,0,1,0,"Wang, Yixin",41
2023,Fall,2023-fa,BADM,275,Operations Management,LCD,0,39,19,3,2,0,1,0,0,0,0,0,0,0,"Hu, Junqi",64
2023,Fall,2023-fa,BADM,275,Operations Management,LCD,2,35,21,4,2,0,0,0,0,0,0,0,0,0,"Wang, Yixin",64
2023,Fall,2023-fa,BADM,275,Operations Management,LCD,16,22,13,6,3,0,2,1,0,0,0,0,1,0,"Kirci, Ismail",64
